,Event ID,Run ID,Dec,RA,Signalness,MJD,Stream,Cut,Dec err,RA err
125,6416344,126911,-4.56,194.55,0.296,57291.90119021698,EHE,GOLD,1.57,2.02
126,9961785,126976,52.37,178.72,0.516,57308.12441298802,GFU,BRONZE,2.22,2.26
127,59479399,126989,19.95,197.53,0.754,57312.67572957463,GFU,GOLD,5.3,5.18
128,69211097,127112,12.71,76.16,0.957,57340.87348405651,GFU,GOLD,1.38,2.72
129,9907321,127154,-2.24,262.05,0.637,57348.5316095805,GFU,GOLD,1.3,1.9300000000000002
130,17650073,127357,5.0,79.41,0.566,57391.44384330693,GFU,GOLD,1.83,1.58
131,54505431,127495,-14.9,263.76,0.146,57415.18345819237,EHE,GOLD,2.2800000000000002,2.9000000000000004
132,48070937,127603,60.06,311.87,0.596,57443.88039407472,GFU,GOLD,3.02,3.96
133,18431575,127650,10.47,91.32,0.28,57454.69665795971,GFU,BRONZE,7.19,15.74
134,55820225,127742,15.48,151.22,0.851,57478.56517147233,GFU,GOLD,1.3900000000000001,1.32
135,45902607,127790,-4.07,235.63,0.367,57488.7345027906,GFU,BRONZE,2.17,2.6799999999999997
136,67093193,127853,9.71,240.29,0.451,57505.24481760429,HESE,BRONZE,0.99,0.9199999999999999
137,25056152,127910,1.9,352.88,0.393,57518.66395275027,EHE,GOLD,1.42,3.21
138,69069846,128034,4.67,16.52,0.249,57551.43429290814,GFU,BRONZE,2.39,1.06
139,17929326,128065,40.82,214.76,0.413,57553.52619622136,GFU,BRONZE,7.3100000000000005,7.29
140,65335330,128067,12.64,304.32,0.41,57554.40430995815,GFU,BRONZE,2.67,2.6799999999999997
141,54386016,128209,0.6,351.43,0.278,57576.1679717178,GFU,BRONZE,1.94,3.83
142,44251618,128253,29.23,60.25,0.368,57589.9135279203,GFU,BRONZE,11.190000000000001,19.6
143,49218472,128278,14.67,113.12,0.296,57596.34413697475,GFU,BRONZE,2.2,3.4699999999999998
144,6888376,128290,-0.3,214.58,0.441,57600.07990202622,HESE,BRONZE,1.12,1.1
