,Unnamed: 0,Event ID,Run ID,Dec,RA,Signalness,MJD,Stream,Cut,Dec err,RA err,TS_1.0e+03,ns_1.0e+03,p_1.0e+03,TS_1.7e+05,ns_1.7e+05,p_1.7e+05,TS_steady,ns_steady,p_steady,ra_steady,dec_steady,gamma_steady
228,228,42419327,132508,6.43,120.19,0.341,58606.72440656845,EHE,GOLD,1.4300000000000002,1.32,0.0,0.0,1.0,0.0,0.0,1.0,1.4064342740233684,23.63400381796612,0.31,2.0985016938331245,0.10687607890739374,2.9648860677329565
229,229,766165,132518,-37.26,65.17,0.386,58607.7675740006,HESE,BRONZE,1.7000000000000002,2.81,0.0,0.0,1.0,0.0,0.0,1.0,2.2073104120203153,9.970877665301243,0.497,1.1482347446085976,-0.6440107619391596,3.163759662301079
230,230,42662743,132577,12.6,127.88,0.816,58618.45061140577,GFU,GOLD,0.96,1.62,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,6.280117345603815,0.7297276562269662,2.0
231,231,5635104,132684,26.57,312.19,0.606,58647.82937645641,GFU,GOLD,1.46,1.4500000000000002,0.0,0.0,1.0,0.582106330815205,1.3543769997931887,0.1056,0.0,1.0,1.0,6.280117345603815,0.7297276562269662,2.0
232,232,54984442,132707,10.28,343.52,0.547,58653.5515977822,GFU,GOLD,4.779999999999999,7.29,0.0,0.0,1.0,1.654200631835257,0.9764702514662618,0.2456,3.0701613859206667,35.50613575845421,0.63125,6.0103350096897,0.16591701260056507,4.128594664890914
233,233,5390846,132768,84.56,29.12,0.343,58663.80850834146,GFU,BRONZE,9.06,158.33,0.0,0.0,1.0,0.0,0.0,1.0,5.463770591343071,2.9094862677094935,0.128,0.3914360018409796,1.4413561609259553,1.3676617239805435
234,234,60166398,132792,26.9,161.81,0.486,58668.78393812659,GFU,BRONZE,3.85,6.0600000000000005,0.0,0.0,1.0,0.0,0.0,1.0,5.988333756852295,29.70397365521939,0.18075,2.8516200785725934,0.4866995610266481,2.608925018455817
235,235,44222682,132814,12.75,76.64,0.304,58676.05228456779,GFU,BRONZE,7.609999999999999,12.22,0.0,0.0,1.0,0.0,0.0,1.0,12.599125787601409,18.223337545198543,0.04025,1.315189557073243,0.22016124005163193,2.0686030409081466
236,236,57145925,132910,10.77,226.14,0.67,58694.86853369251,GFU,GOLD,2.2,3.25,0.0,0.0,1.0,0.0,0.0,1.0,0.1810025170148979,14.856111751071802,0.7795,3.9374867400579006,0.18783687038415167,4.04861537192266
237,237,67924813,132974,1.45,148.54,0.293,58714.73222496411,GFU,BRONZE,1.6800000000000002,5.59,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,6.280117345603815,0.7297276562269662,2.0
238,238,81419,133091,-22.27,167.3,0.202,58748.40469477737,EHE,GOLD,6.7,5.53,0.0,0.0,1.0,1.9417626217402528,1.4949101465531767,0.4028,6.041567228446057,16.739217549404216,0.64075,2.9300166921688677,-0.42917544175734956,3.4336697602262083
239,239,52499868,133092,-1.53,5.71,0.504,58748.96105979347,GFU,GOLD,1.6800000000000002,2.46,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,6.280117345603815,0.7297276562269662,2.0
240,240,22683750,133119,12.79,313.99,0.59,58757.8397936808,GFU,GOLD,3.29,9.4,0.0,0.0,1.0,4.9356077048232,1.5290610860549423,0.076,8.211971701474605,6.142366994672754,0.11125,5.547671718788499,0.2305026359849832,1.9484507416320933
241,241,47828126,133331,3.77,229.31,0.451,58806.04270119005,GFU,GOLD,4.710000000000001,10.46,0.0,0.0,1.0,1.2425096273168814,0.7745434521910327,0.4784,1.7496150783815567,47.954176797431636,0.9675,4.080127799670196,0.048713224502016095,3.3293612270040334
242,242,80807014,133348,0.07,27.03,0.329,58809.94803814533,GFU,BRONZE,2.6500000000000004,4.7,0.0,0.0,1.0,8.732591122467099,1.9286150058993816,0.0084,11.419677688882507,69.01573240997196,0.01475,0.4584686197740893,0.0161318899301588,3.7487795263428505
243,243,27261780,133394,2.87,80.16,0.326,58821.94874207213,GFU,BRONZE,2.02,4.4,0.0,0.0,1.0,0.0,0.0,1.0,4.76877350409773,27.483010144030008,0.1725,1.3871373690134126,0.04673130299980661,2.830842657577045
244,244,29047901,133433,58.45,286.83,0.476,58832.46525037375,GFU,BRONZE,3.94,4.19,0.0,0.0,1.0,6.589152024798112,2.0900348752371336,0.0116,4.985450456002326,27.283801200997978,0.15925,5.037087300966568,1.010793558685253,2.7499999881650283
245,245,82361476,133572,20.11,48.47,0.464,58848.45840369244,GFU,BRONZE,8.21,13.63,0.0,0.0,1.0,5.320043376791954,1.84687451846481,0.142,4.7972397052669935,44.28629859570319,0.79725,0.794602048124762,0.29596880335893117,3.0498708731101454
246,246,37927131,133609,11.8,165.45,0.769,58857.98726780584,GFU,GOLD,2.47,7.99,0.0,0.0,1.0,0.0,0.0,1.0,2.942056244970935,32.868695844547176,0.56025,2.9139272831548144,0.1967668383042149,3.7175539869748633
247,247,1410505,133634,29.18,116.02,0.375,58865.46423253074,GFU,BRONZE,1.67,1.98,0.0,0.0,1.0,0.1563550207353015,0.5752220898978492,0.1592,0.34759222294836256,16.885934203300593,0.533,2.0292700913131836,0.5123494168910342,3.998478576449509
248,248,43767651,133644,-14.59,67.41,0.314,58868.78354813303,GFU,BRONZE,0.5,0.71,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,6.280117345603815,0.7297276562269662,2.0
249,249,24635982,133945,11.61,242.58,0.305,58949.97217001604,GFU,BRONZE,14.02,20.4,0.0,0.0,1.0,2.703989884623211,1.2973568109632638,0.7972,,,,,,
250,250,60770138,133985,8.23,87.93,0.333,58960.02458611799,GFU,BRONZE,3.89,6.24,0.0,0.0,1.0,0.0,0.0,1.0,6.939877722449202,57.52936827463825,0.1005,1.5625149362266912,0.140258416463846,3.5499708817157223
251,251,16038252,134013,53.72,99.97,0.481,58964.97692534277,GFU,BRONZE,3.94,7.76,0.0,0.0,1.0,3.4097136106588195,3.345618143547135,0.0808,0.0,1.0,1.0,6.280117345603815,0.7297276562269662,2.0
252,252,58268464,134081,15.79,295.18,0.322,58981.31351572679,GFU,BRONZE,2.52,3.91,0.0,0.0,1.0,0.0,0.7262162022152653,1.0,0.0,1.0,1.0,6.280117345603815,0.7297276562269662,2.0
253,253,58596690,134116,1.75,338.64,0.25,58992.10425457315,GFU,BRONZE,5.3,16.0,0.0,0.0,1.0,2.836374415748115,1.837745259712349,0.3428,7.107550401414797,54.1073404651172,0.437,6.069080808512755,0.021776977337552555,3.0858714468529684
254,254,35473338,134139,26.61,255.37,0.59,58999.32950733045,EHE,GOLD,5.57,5.01,0.0,0.0,1.0,0.0,0.0,1.0,5.776639800910292,35.697197324129974,0.269,4.466056217087254,0.4655862623243205,3.166716342448024
255,255,72386329,134187,31.61,33.84,0.415,59014.52872012802,GFU,BRONZE,4.96,11.16,0.0,0.0,1.0,0.0,0.0,1.0,14.57117992044074,75.06571437682807,0.004,0.5448619283071108,0.5652521125924462,3.6322353244883594
256,256,17593623,134191,3.66,142.95,0.828,59015.61756223327,GFU,GOLD,2.17,2.55,0.0,0.0,1.0,0.0,0.0,1.0,5.792665519746823,26.758097009968314,0.08325,2.497202875782011,0.061584855045032943,2.7187994297214426
257,257,33533447,134207,11.95,162.11,0.325,59020.12745696646,GFU,BRONZE,1.07,1.54,0.0,0.0,1.0,0.0,0.0,1.0,2.9330404370691063,34.47211429363343,0.162,2.829090328648742,0.20987059204875047,3.7500683484644637
258,258,59221243,134354,47.75,157.25,0.397,59067.57704206692,GFU,BRONZE,1.23,2.04,0.0,0.0,1.0,0.13733398654274176,0.476749966301026,0.152,0.0,1.0,1.0,6.280117345603815,0.7297276562269662,2.0
259,259,27754576,134482,38.11,51.11,0.408,59103.59706286398,GFU,BRONZE,4.28,15.38,0.0,0.0,1.0,0.0,0.0,1.0,4.992830252345133,26.852923440316406,0.30475,0.8843063122596113,0.691001701045517,2.940613817225148
260,260,12605830,134498,14.36,109.78,0.322,59108.8614694116,GFU,BRONZE,1.66,2.46,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,6.280117345603815,0.7297276562269662,2.0
261,261,71996695,134512,26.24,195.29,0.409,59113.79667700687,GFU,BRONZE,3.19,4.04,0.0,0.0,1.0,0.0,0.0,1.0,1.1351799696010154,13.687657951806482,0.67575,3.3891864795278375,0.4498275773257802,2.47390176393641
262,262,53384881,134533,-4.33,96.46,0.44,59118.32930116513,EHE,GOLD,1.35,1.23,0.0021868025797016494,0.05594646833501367,0.0067,0.0,0.0,1.0,0.0,1.0,1.0,6.280117345603815,0.7297276562269662,2.0
